name,specialization,latitude,longitude,hospital_name
Noreen Nasir, INTERNIST,24.89232084,67.07542773,Agha Khan
Ainan Arshad, INTERNIST,24.89232084,67.07542773,Agha Khan
Syed Ahsan Ali, INTERNIST,24.89232084,67.07542773,Agha Khan
Sobia Saeed Ghazali, INTERNIST,24.89232084,67.07542773,Agha Khan
Samar Fatima, INTERNIST,24.89232084,67.07542773,Agha Khan
Amber Sabeen, INTERNIST,24.89232084,67.07542773,Agha Khan
Muhammad Abu Kamran Pasha, INTERNIST,24.89232084,67.07542773,Agha Khan
Muhammad Zain Mushtaq, INTERNIST,24.89232084,67.07542773,Agha Khan
Faheem Shaikh, INTERNIST,24.89232084,67.07542773,Agha Khan
Muhammad Tariq, INTERNIST,24.89232084,67.07542773,Agha Khan
Hafiz Muhammad Mehmood Riaz, INTERNIST,24.89232084,67.07542773,Agha Khan
Muhammad Haroon Khan, INTERNIST,24.89232084,67.07542773,Agha Khan
Raeefuddin Ahmed, INTERNIST,24.89232084,67.07542773,Agha Khan
Aysha Almas, INTERNIST,24.89232084,67.07542773,Agha Khan
Sadaf Hanif, INTERNIST,24.89232084,67.07542773,Agha Khan
Imran -Ul-Haq, INTERNIST,24.89232084,67.07542773,Agha Khan
Fazal Ur Rehman, INTERNIST,24.89232084,67.07542773,Agha Khan
Sara Sajid, INTERNIST,24.89232084,67.07542773,Agha Khan
Adil Aziz, INTERNIST,24.89232084,67.07542773,Agha Khan
Saad Bin Zafar Mahmood, INTERNIST,24.89232084,67.07542773,Agha Khan
Dr. Saima Ali,ADULT EMERGENCY MEDICINE,24.8176517,67.11176696,Indus
Dr. Sama Mukhtar,ADULT EMERGENCY MEDICINE,24.8176517,67.11176696,Indus
Dr. Adeel Khatri,ADULT EMERGENCY MEDICINE,24.8176517,67.11176696,Indus
Dr. Syed Ghazanfar Saleem,ADULT EMERGENCY MEDICINE,24.8176517,67.11176696,Indus
Dr. Sabahat Sarfaraz,ALLERGY CLINIC,24.94434275,67.13907265,Dow
DR. AYAZ,ANAESTHESIOLOGIST,24.81744784,67.00775898,Ziauddin Hospital
DR. ASMA ABDUS SALAM,ANAESTHESIOLOGIST,24.81744784,67.00775898,Ziauddin Hospital
Dr. S.M. Nadeem Naqvi,ANAESTHESIOLOGY,24.89111874,67.06600414,Liaquat National
Prof. Dr. Muhammad Sirajuddin,ANAESTHESIOLOGY,24.89111874,67.06600414,Liaquat National
Dr. Aqil Qayoom Khanzada,ANAESTHESIOLOGY,24.89111874,67.06600414,Liaquat National
Dr. Muhammad Arshed,ANAESTHESIOLOGY,24.89111874,67.06600414,Liaquat National
Dr. Sabahat Tariq,ANAESTHESIOLOGY,24.89111874,67.06600414,Liaquat National
Dr. Muhammad Amim Anwar,ANAESTHESIOLOGY,24.89111874,67.06600414,Liaquat National
Dr. Arif Iftikhar Mallhi,ANAESTHESIOLOGY,24.89111874,67.06600414,Liaquat National
Dr. Syed Muhammad Nadeem,ANAESTHESIOLOGY,24.89111874,67.06600414,Liaquat National
Prof. Dr. Nighat Abbas,ANAESTHESIOLOGY,24.89111874,67.06600414,Liaquat National
Dr. Ali Asgher,ANAESTHESIOLOGY,24.89111874,67.06600414,Liaquat National
Dr. Sarosh Rifaqat,ANAESTHESIOLOGY,24.89111874,67.06600414,Liaquat National
Dr. Nasir Sulaiman,ANDROLOGIST,24.81441837,67.02243839,South City Hospital
Dr. Amanullah Memon,ANDROLOGIST,24.81441837,67.02243839,South City Hospital
Dr. Rabia Iqtdar,ANESTHESIA,24.84691306,67.05618623,NMC
Fauzia Anis Khan,ANESTHESIOLOGIST,24.89232084,67.07542773,Agha Khan
Asad Latif,ANESTHESIOLOGIST,24.89232084,67.07542773,Agha Khan
